pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest,family_name,title,alone,family_size,deck,persons_on_ticket,fare_per_head
1,1,James Warburton Martinez (Charlotte Wardle Drake),female,58.0,0,1,PC 17755,512.3292,B51 B53 B55,C,3,survived,"Germantown, Philadelphia, PA",Cardeza,Mrs.,0,2,B,4,128.0823
1,0,Frans Olof,male,33.0,0,0,695,5.0,B51 B53 B55,S,not_found,not_found,"New York, NY",Carlsson,Mr.,1,1,B,1,5.0
1,0,Francisco M,male,28.0,0,0,113059,47.1,unknown,S,not_found,not_found,"Montevideo, Uruguay",Carrau,Mr.,1,1,unknown,2,23.55
1,0,Jose Pedro,male,17.0,0,0,113059,47.1,unknown,S,not_found,not_found,"Montevideo, Uruguay",Carrau,Mr.,1,1,unknown,2,23.55
1,1,William Thornton II,male,11.0,1,2,113760,120.0,B96 B98,S,4,survived,"Bryn Mawr, PA",Carter,Master.,0,4,B,4,30.0
1,1,Lucile Polk,female,14.0,1,2,113760,120.0,B96 B98,S,4,survived,"Bryn Mawr, PA",Carter,Miss.,0,4,B,4,30.0
1,1,William Ernest,male,36.0,1,2,113760,120.0,B96 B98,S,C,survived,"Bryn Mawr, PA",Carter,Mr.,0,4,B,4,30.0
1,1,William Ernest (Lucile Polk),female,36.0,1,2,113760,120.0,B96 B98,S,4,survived,"Bryn Mawr, PA",Carter,Mrs.,0,4,B,4,30.0
1,0,Howard Brown,male,49.0,0,0,19924,26.0,unknown,S,not_found,not_found,"Ascot, Berkshire / Rochester, NY",Case,Mr.,1,1,unknown,1,26.0
1,1,Henry Arthur Jr (Eleanor Genevieve Fosdick),female,37.95238095238095,0,0,17770,27.7208,unknown,C,5,survived,"New York, NY",Cassebeer,Mrs.,1,1,unknown,1,27.7208
1,0,Tyrell William,male,36.0,1,0,19877,78.85,C46,S,not_found,172.0,"Little Onn Hall, Staffs",Cavendish,Mr.,0,2,C,3,26.28333333333333
1,1,Tyrell William (Julia Florence Siegel),female,76.0,1,0,19877,78.85,C46,S,6,survived,"Little Onn Hall, Staffs",Cavendish,Mrs.,0,2,C,3,26.28333333333333
1,0,Herbert Fuller,male,46.0,1,0,W.E.P. 5734,61.175,E31,S,not_found,not_found,"Amenia, ND",Chaffee,Mr.,0,2,E,2,30.5875
1,1,Herbert Fuller (Carrie Constance Toogood),female,47.0,1,0,W.E.P. 5734,61.175,E31,S,4,survived,"Amenia, ND",Chaffee,Mrs.,0,2,E,2,30.5875
1,1,Norman Campbell,male,27.0,1,0,113806,53.1,E8,S,5,survived,"New York, NY / Ithaca, NY",Chambers,Mr.,0,2,E,2,26.55
1,1,Norman Campbell (Bertha Griggs),female,33.0,1,0,113806,53.1,E8,S,5,survived,"New York, NY / Ithaca, NY",Chambers,Mrs.,0,2,E,2,26.55
1,1,Victorine,female,36.0,0,0,PC 17608,262.375,B61,C,4,survived,unknown,Chaudanson,Miss.,1,1,B,7,37.482142857142854
1,1,Gladys,female,30.0,0,0,110152,86.5,B77,S,8,survived,"London, England",Cherry,Miss.,1,1,B,3,28.833333333333332
1,1,Paul Romaine,male,45.0,0,0,PC 17594,29.7,A9,C,7,survived,"Paris, France",Chevre,Mr.,1,1,A,1,29.7
1,1,(Edith Martha Bowerman),female,35.885245901639344,0,1,113505,55.0,E33,S,6,survived,"St Leonards-on-Sea, England Ohio",Chibnall,Mrs.,0,2,E,2,27.5
1,0,Roderick Robert Crispin,male,43.925,0,0,112051,0.0,unknown,S,not_found,not_found,"Liverpool, England / Belfast",Chisholm,Mr.,1,1,unknown,1,0.0
1,0,Walter Miller,male,27.0,1,0,13508,136.7792,C89,C,not_found,not_found,"Los Angeles, CA",Clark,Mr.,0,2,C,2,68.3896
1,1,Walter Miller (Virginia McDowell),female,26.0,1,0,13508,136.7792,C89,C,4,survived,"Los Angeles, CA",Clark,Mrs.,0,2,C,2,68.3896
1,1,Alice,female,22.0,0,0,113781,151.55,unknown,S,11,survived,unknown,Cleaver,Miss.,1,1,unknown,6,25.258333333333336
1,0,George Quincy,male,43.925,0,0,110465,52.0,A14,S,not_found,not_found,"Stoughton, MA",Clifford,Mr.,1,1,A,2,26.0
1,0,Edward Pomeroy,male,47.0,0,0,5727,25.5875,E58,S,not_found,not_found,"Victoria, BC",Colley,Mr.,1,1,E,1,25.5875
1,1,Sara Rebecca,female,39.0,1,1,PC 17756,83.1583,E49,C,14,survived,"Lakewood, NJ",Compton,Miss.,0,3,E,3,27.71943333333333
1,0,Alexander Taylor Jr,male,37.0,1,1,PC 17756,83.1583,E52,C,not_found,not_found,"Lakewood, NJ",Compton,Mr.,0,3,E,3,27.71943333333333
1,1,Alexander Taylor (Mary Eliza Ingersoll),female,64.0,0,2,PC 17756,83.1583,E45,C,14,survived,"Lakewood, NJ",Compton,Mrs.,0,3,E,3,27.71943333333333
1,1,Robert Clifford (Malvina Helen Lamson),female,55.0,2,0,11770,25.7,C101,S,2,survived,"New York, NY",Cornell,Mrs.,0,3,C,1,25.7
1,0,John Bertram,male,43.925,0,0,113791,26.55,unknown,S,not_found,not_found,"Roachdale, IN",Crafton,Mr.,1,1,unknown,1,26.55
1,0,Edward Gifford,male,70.0,1,1,WE/P 5735,71.0,B22,S,not_found,269.0,"Milwaukee, WI",Crosby,Capt.,0,3,B,2,35.5
1,1,Harriet R,female,36.0,0,2,WE/P 5735,71.0,B22,S,7,survived,"Milwaukee, WI",Crosby,Miss.,0,3,B,2,35.5
1,1,Edward Gifford (Catherine Elizabeth Halstead),female,64.0,1,1,112901,26.55,B26,S,7,survived,"Milwaukee, WI",Crosby,Mrs.,0,3,B,1,26.55
1,0,John Bradley,male,39.0,1,0,PC 17599,71.2833,C85,C,not_found,not_found,"New York, NY",Cumings,Mr.,0,2,C,2,35.64165
1,1,John Bradley (Florence Briggs Thayer),female,38.0,1,0,PC 17599,71.2833,C85,C,4,survived,"New York, NY",Cumings,Mrs.,0,2,C,2,35.64165
1,1,Peter Denis ,male,51.0,0,0,113055,26.55,E17,S,5 9,survived,"Lima, Peru",Daly,Mr.,1,1,E,1,26.55
1,1,Robert Williams,male,27.0,0,0,113804,30.5,unknown,S,3,survived,"Philadelphia, PA",Daniel,Mr.,1,1,unknown,1,30.5
1,1,Sarah,female,33.0,0,0,113781,151.55,unknown,S,8,survived,unknown,Daniels,Miss.,1,1,unknown,6,25.258333333333336
1,0,Thornton,male,31.0,1,0,F.C. 12750,52.0,B71,S,not_found,not_found,"Montreal, PQ",Davidson,Mr.,0,2,B,2,26.0
1,1,Thornton (Orian Hays),female,27.0,1,2,F.C. 12750,52.0,B71,S,3,survived,"Montreal, PQ",Davidson,Mrs.,0,4,B,2,26.0
1,1,Albert Adrian,male,31.0,1,0,17474,57.0,B20,S,3,survived,"Calgary, AB",Dick,Mr.,0,2,B,2,28.5
1,1,Albert Adrian (Vera Gillespie),female,17.0,1,0,17474,57.0,B20,S,3,survived,"Calgary, AB",Dick,Mrs.,0,2,B,2,28.5
1,1,Washington,male,53.0,1,1,33638,81.8583,A34,S,13,survived,"San Francisco, CA",Dodge,Dr.,0,3,A,3,27.2861
1,1,Washington,male,4.0,0,2,33638,81.8583,A34,S,5,survived,"San Francisco, CA",Dodge,Master.,0,3,A,3,27.2861
1,1,Washington (Ruth Vidaver),female,54.0,1,1,33638,81.8583,A34,S,5,survived,"San Francisco, CA",Dodge,Mrs.,0,3,A,3,27.2861
1,0,Walter Donald,male,50.0,1,0,PC 17761,106.425,C86,C,not_found,62.0,"Deephaven, MN / Cedar Rapids, IA",Douglas,Mr.,0,2,C,3,35.475
1,1,Frederick Charles (Mary Helene Baxter),female,27.0,1,1,PC 17558,247.5208,B58 B60,C,6,survived,"Montreal, PQ",Douglas,Mrs.,0,3,B,3,82.50693333333334
1,1,Walter Donald (Mahala Dutton),female,48.0,1,0,PC 17761,106.425,C86,C,2,survived,"Deephaven, MN / Cedar Rapids, IA",Douglas,Mrs.,0,2,C,3,35.475
1,1,"(Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C,1,survived,London / Paris,Duff Gordon,Lady.,0,2,A,1,39.6
1,1,"Cosmo Edmund (""Mr Morgan"")",male,49.0,1,0,PC 17485,56.9292,A20,C,1,survived,London / Paris,Duff Gordon,Sir.,0,2,A,2,28.4646
1,0,William Crothers,male,39.0,0,0,PC 17580,29.7,A18,C,not_found,133.0,"Philadelphia, PA",Dulles,Mr.,1,1,A,1,29.7
1,1,Boulton (Olive Potter),female,23.0,0,1,11767,83.1583,C54,C,7,survived,"Mt Airy, Philadelphia, PA",Earnshaw,Mrs.,0,2,C,3,27.71943333333333
1,1,Caroline Louise,female,38.0,0,0,PC 17757,227.525,C45,C,4,survived,"New York, NY",Endres,Miss.,1,1,C,5,45.505
1,1,Elizabeth Mussey,female,54.0,1,0,36947,78.2667,D20,C,4,survived,"Brookline, MA",Eustis,Miss.,0,2,D,2,39.13335
1,0,Edith Corse,female,36.0,0,0,PC 17531,31.6792,A29,C,not_found,not_found,"New York, NY",Evans,Miss.,1,1,A,1,31.6792
1,0,John,male,43.925,0,0,PC 17483,221.7792,C95,S,not_found,not_found,unknown,Farthing,Mr.,1,1,C,4,55.4448
1,1,Alfred (Antoinette),female,35.885245901639344,0,0,PC 17598,31.6833,unknown,S,7,survived,"New York, NY",Flegenheim,Mrs.,1,1,unknown,1,31.6833
1,1,Margaret,female,37.95238095238095,0,0,17421,110.8833,unknown,C,4,survived,unknown,Fleming,Miss.,1,1,unknown,4,27.720825
1,1,"John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,S,5,survived,"Brooklyn, NY",Flynn,Mr.,1,1,E,1,26.3875
1,0,Benjamin Laventall,male,30.0,0,0,113051,27.75,C111,C,not_found,not_found,"New York, NY",Foreman,Mr.,1,1,C,1,27.75
1,1,Alice Elizabeth,female,24.0,3,2,19950,263.0,C23 C25 C27,S,10,survived,"Winnipeg, MB",Fortune,Miss.,0,6,C,6,43.833333333333336
1,1,Ethel Flora,female,28.0,3,2,19950,263.0,C23 C25 C27,S,10,survived,"Winnipeg, MB",Fortune,Miss.,0,6,C,6,43.833333333333336
1,1,Mabel Helen,female,23.0,3,2,19950,263.0,C23 C25 C27,S,10,survived,"Winnipeg, MB",Fortune,Miss.,0,6,C,6,43.833333333333336
1,0,Charles Alexander,male,19.0,3,2,19950,263.0,C23 C25 C27,S,not_found,not_found,"Winnipeg, MB",Fortune,Mr.,0,6,C,6,43.833333333333336
1,0,Mark,male,64.0,1,4,19950,263.0,C23 C25 C27,S,not_found,not_found,"Winnipeg, MB",Fortune,Mr.,0,6,C,6,43.833333333333336
1,1,Mark (Mary McDougald),female,60.0,1,4,19950,263.0,C23 C25 C27,S,10,survived,"Winnipeg, MB",Fortune,Mrs.,0,6,C,6,43.833333333333336
1,1,Laura Mabel,female,30.0,0,0,PC 17485,56.9292,E36,C,1,survived,unknown,Francatelli,Miss.,1,1,E,2,28.4646
1,0,Thomas Parham,male,43.925,0,0,113778,26.55,D34,S,not_found,not_found,"Westcliff-on-Sea, Essex",Franklin,Mr.,1,1,D,1,26.55
1,1,Henry William,male,50.0,2,0,PC 17611,133.65,unknown,S,5,survived,"New York, NY",Frauenthal,Dr.,0,3,unknown,2,66.825
1,1,Isaac Gerald,male,43.0,1,0,17765,27.7208,D40,C,5,survived,"New York, NY",Frauenthal,Mr.,0,2,D,1,27.7208
1,1,Henry William (Clara Heinsheimer),female,35.885245901639344,1,0,PC 17611,133.65,unknown,S,5,survived,"New York, NY",Frauenthal,Mrs.,0,2,unknown,2,66.825
1,1,Hedwig Margaritha,female,22.0,0,2,13568,49.5,B39,C,5,survived,"Zurich, Switzerland",Frolicher,Miss.,0,3,B,1,49.5
1,1,Maxmillian,male,60.0,1,1,13567,79.2,B41,C,5,survived,"Zurich, Switzerland",Frolicher-Stehli,Mr.,0,3,B,2,39.6
1,1,Maxmillian (Margaretha Emerentia Stehli),female,48.0,1,1,13567,79.2,B41,C,5,survived,"Zurich, Switzerland",Frolicher-Stehli,Mrs.,0,3,B,2,39.6
1,0,Richard,male,43.925,0,0,112058,0.0,B102,S,not_found,not_found,unknown,Fry,Mr.,1,1,B,2,0.0
1,0,Jacques Heath,male,37.0,1,0,113803,53.1,C123,S,not_found,not_found,"Scituate, MA",Futrelle,Mr.,0,2,C,2,26.55
1,1,Jacques Heath (Lily May Peel),female,35.0,1,0,113803,53.1,C123,S,D,survived,"Scituate, MA",Futrelle,Mrs.,0,2,C,2,26.55
1,0,Arthur H,male,47.0,0,0,111320,38.5,E63,S,not_found,275.0,"St Anne's-on-Sea, Lancashire",Gee,Mr.,1,1,E,1,38.5
1,1,Amalie,female,35.0,0,0,113503,211.5,C130,C,4,survived,unknown,Geiger,Miss.,1,1,C,5,42.3
1,1,Dorothy Winifred,female,22.0,0,1,112378,59.4,unknown,C,7,survived,"New York, NY",Gibson,Miss.,0,2,unknown,2,29.7
1,1,Leonard (Pauline C Boeson),female,45.0,0,1,112378,59.4,unknown,C,7,survived,"New York, NY",Gibson,Mrs.,0,2,unknown,2,29.7
1,0,Victor,male,24.0,0,0,PC 17593,79.2,B86,C,not_found,not_found,unknown,Giglio,Mr.,1,1,B,2,39.6
1,1,Samuel L,male,49.0,1,0,17453,89.1042,C92,C,5,survived,"Paris, France / New York, NY",Goldenberg,Mr.,0,2,C,2,44.5521
1,1,Samuel L (Edwiga Grabowska),female,37.95238095238095,1,0,17453,89.1042,C92,C,5,survived,"Paris, France / New York, NY",Goldenberg,Mrs.,0,2,C,2,44.5521
1,0,George B,male,71.0,0,0,PC 17754,34.6542,A5,C,not_found,not_found,"New York, NY",Goldschmidt,Mr.,1,1,A,1,34.6542
1,1,Archibald IV,male,53.0,0,0,113780,28.5,C51,C,B,survived,"Washington, DC",Gracie,Col.,1,1,C,1,28.5
1,1,Margaret Edith,female,19.0,0,0,112053,30.0,B42,S,3,survived,"Greenwich, CT",Graham,Miss.,1,1,B,1,30.0
1,0,George Edward,male,38.0,0,1,PC 17582,153.4625,C91,S,not_found,147.0,"Winnipeg, MB",Graham,Mr.,0,2,C,3,51.15416666666667
1,1,William Thompson (Edith Junkins),female,58.0,0,1,PC 17582,153.4625,C125,S,3,survived,"Greenwich, CT",Graham,Mrs.,0,2,C,3,51.15416666666667
1,1,William Bertram,male,23.0,0,1,PC 17759,63.3583,D10 D12,C,7,survived,"New York, NY",Greenfield,Mr.,0,2,D,2,31.67915
1,1,Leo David (Blanche Strouse),female,45.0,0,1,PC 17759,63.3583,D10 D12,C,7,survived,"New York, NY",Greenfield,Mrs.,0,2,D,2,31.67915
1,0,Benjamin,male,46.0,0,0,PC 17593,79.2,B82 B84,C,not_found,not_found,"New York, NY",Guggenheim,Mr.,1,1,B,2,39.6
1,1,George Achilles,male,25.0,1,0,11765,55.4417,E50,C,5,survived,"Brooklyn, NY",Harder,Mr.,0,2,E,2,27.72085
1,1,George Achilles (Dorothy Annan),female,25.0,1,0,11765,55.4417,E50,C,5,survived,"Brooklyn, NY",Harder,Mrs.,0,2,E,2,27.72085
1,1,Henry Sleeper,male,48.0,1,0,PC 17572,76.7292,D33,C,3,survived,"New York, NY",Harper,Mr.,0,2,D,3,25.576400000000003
1,1,Henry Sleeper (Myna Haxtun),female,49.0,1,0,PC 17572,76.7292,D33,C,3,survived,"New York, NY",Harper,Mrs.,0,2,D,3,25.576400000000003
1,0,Charles H,male,43.925,0,0,113796,42.4,unknown,S,not_found,not_found,unknown,Harrington,Mr.,1,1,unknown,2,21.2
1,0,Henry Birkhardt,male,45.0,1,0,36973,83.475,C83,S,not_found,not_found,"New York, NY",Harris,Mr.,0,2,C,2,41.7375
1,1,Henry Birkhardt (Irene Wallach),female,35.0,1,0,36973,83.475,C83,S,D,survived,"New York, NY",Harris,Mrs.,0,2,C,2,41.7375
1,0,William,male,40.0,0,0,112059,0.0,B94,S,not_found,110.0,unknown,Harrison,Mr.,1,1,B,1,0.0
1,1,Hammad,male,27.0,0,0,PC 17572,76.7292,D49,C,3,survived,unknown,Hassab,Mr.,1,1,D,3,25.576400000000003
1,1,Walter James,male,36.774692592592594,0,0,16988,30.0,D45,S,3,survived,"Kingston, Surrey",Hawksford,Mr.,1,1,D,1,30.0
1,1,Margaret Bechstein,female,24.0,0,0,11767,83.1583,C54,C,7,survived,"New York, NY",Hays,Miss.,1,1,C,3,27.71943333333333
1,0,Charles Melville,male,55.0,1,1,12749,93.5,B69,S,not_found,307.0,"Montreal, PQ",Hays,Mr.,0,3,B,4,23.375
1,1,Charles Melville (Clara Jennings Gregg),female,52.0,1,1,12749,93.5,B69,S,3,survived,"Montreal, PQ",Hays,Mrs.,0,3,B,4,23.375
1,0,Christopher,male,42.0,0,0,113038,42.5,B11,S,not_found,not_found,London / Middlesex,Head,Mr.,1,1,B,1,42.5
1,0,Herbert Henry,male,43.925,0,0,17463,51.8625,E46,S,not_found,not_found,"Brighton, MA",Hilliard,Mr.,1,1,E,2,25.93125
1,0,William Edward,male,55.0,0,0,680,50.0,C39,S,not_found,not_found,London / Birmingham,Hipkins,Mr.,1,1,C,1,50.0
1,1,Jean Gertrude,female,16.0,0,1,111361,57.9792,B18,C,4,survived,"Chicago, IL",Hippach,Miss.,0,2,B,2,28.9896
1,1,Louis Albert (Ida Sophia Fischer),female,44.0,0,1,111361,57.9792,B18,C,4,survived,"Chicago, IL",Hippach,Mrs.,0,2,B,2,28.9896
1,1,John C (Anna Andrews),female,51.0,1,0,13502,77.9583,D11,S,10,survived,"Hudson, NY",Hogeboom,Mrs.,0,2,D,3,25.986099999999997
1,0,Alexander Oskar,male,42.0,1,0,113789,52.0,unknown,S,not_found,38.0,"New York, NY",Holverson,Mr.,0,2,unknown,2,26.0
1,1,Alexander Oskar (Mary Aline Towner),female,35.0,1,0,113789,52.0,unknown,S,8,survived,"New York, NY",Holverson,Mrs.,0,2,unknown,2,26.0
1,1,"Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,unknown,C,15,survived,"Indianapolis, IN",Homer,Mr.,1,1,unknown,1,26.55
1,1,Frederick Maxfield,male,38.0,1,0,19943,90.0,C93,S,D,survived,"New York, NY /  Stamford CT",Hoyt,Mr.,0,2,C,2,45.0
1,0,William Fisher,male,43.21621621621622,0,0,PC 17600,30.6958,unknown,C,14,not_found,"New York, NY",Hoyt,Mr.,1,1,unknown,1,30.6958
1,1,Frederick Maxfield (Jane Anne Forby),female,35.0,1,0,19943,90.0,C93,S,D,survived,"New York, NY /  Stamford CT",Hoyt,Mrs.,0,2,C,2,45.0
1,1,Amelie,female,38.0,0,0,113572,80.0,B28,S,6,survived,unknown,Icard,Miss.,1,1,B,2,40.0
1,0,Ann Elizabeth,female,50.0,0,0,PC 17595,28.7125,C49,C,not_found,not_found,"Paris, France New York, NY",Isham,Miss.,1,1,C,1,28.7125
1,1,Joseph Bruce,male,49.0,0,0,112058,0.0,B52 B54 B56,S,C,survived,Liverpool,Ismay,Mr.,1,1,B,2,0.0
1,0,Charles Cresson,male,46.0,0,0,694,26.0,unknown,S,not_found,80.0,"Bennington, VT",Jones,Mr.,1,1,unknown,1,26.0
1,0,Henry Forbes,male,50.0,0,0,113044,26.0,E60,S,not_found,not_found,London,Julian,Mr.,1,1,E,1,26.0
1,0,Edwin,male,32.5,0,0,113503,211.5,C132,C,not_found,45.0,unknown,Keeping,Mr.,1,1,C,5,42.3
1,0,Edward Austin,male,58.0,0,0,11771,29.7,B37,C,not_found,258.0,"Buffalo, NY",Kent,Mr.,1,1,B,1,29.7
1,0,Frederick R,male,41.0,1,0,17464,51.8625,D21,S,not_found,not_found,"Southington / Noank, CT",Kenyon,Mr.,0,2,D,2,25.93125
1,1,Frederick R (Marion),female,35.885245901639344,1,0,17464,51.8625,D21,S,8,survived,"Southington / Noank, CT",Kenyon,Mrs.,0,2,D,2,25.93125
